a1,a2,a3,a4,dec
9.3,0.43,0.44,3.28,5
9.3,0.43,0.44,3.28,5
8,0.42,0.32,3.22,5
9.3,0.36,0.39,3.47,6
9.3,0.36,0.39,3.47,6
7.6,0.735,0.02,3.51,7
9.3,0.36,0.39,3.47,6
8.2,0.26,0.34,3.4,7
11.7,0.28,0.47,3.15,7
6.8,0.56,0.22,3.4,6
7.2,0.62,0.06,3.51,5
5.8,1.01,0.66,3.66,6
7.5,0.42,0.32,3.24,5
7.2,0.62,0.06,3.51,5
7.2,0.62,0.06,3.51,5
7.2,0.635,0.07,3.51,5
6.8,0.49,0.22,3.41,6
6.9,0.51,0.23,3.4,6
6.8,0.56,0.22,3.4,6
7.6,0.63,0.03,3.44,6
6.9,0.56,0.03,3.53,5
7.3,0.35,0.24,3.43,4
9.1,0.21,0.37,3.23,7
10.4,0.38,0.46,3.12,7
8.8,0.31,0.4,3.31,7
8.8,0.61,0.19,3.22,6
7.2,0.6,0.04,3.53,5
9.2,0.56,0.18,3.15,5
7.6,0.715,0,3.48,6
8.4,0.31,0.29,3.22,6
7.2,0.6,0.04,3.53,5
8.8,0.61,0.19,3.22,6
8.9,0.75,0.14,3.34,5
9,0.8,0.12,3.33,6
10.7,0.52,0.38,3.15,7
6.8,0.57,0,3.43,6
10.7,0.9,0.34,3.22,5
7.2,0.34,0.24,3.44,5
7.2,0.66,0.03,3.53,5
10.1,0.45,0.23,3.22,6
7.2,0.66,0.03,3.53,5
7.2,0.63,0.03,3.53,6
7.1,0.59,0.01,3.42,6
8.3,0.31,0.39,3.31,7
7.1,0.59,0.01,3.42,6
8.3,0.31,0.39,3.31,7
8.3,1.02,0.02,3.48,3
8.9,0.31,0.36,3.4,5
7.4,0.635,0.1,3.58,7
7.4,0.635,0.1,3.58,7
6.8,0.59,0.06,3.41,7
6.8,0.59,0.06,3.41,7
9.2,0.58,0.2,3.23,5
7.2,0.54,0.27,3.39,5
6.1,0.56,0,3.59,6
7.4,0.52,0.13,3.43,6
7.3,0.305,0.39,3.29,6
9.3,0.38,0.48,3.23,6
9.1,0.28,0.46,3.18,6
10,0.46,0.44,3.33,6
9.4,0.395,0.46,3.27,7
7.3,0.305,0.39,3.29,6
8.6,0.315,0.4,3.27,6
5.3,0.715,0.19,3.62,5
6.8,0.41,0.31,3.38,6
8.4,0.36,0.32,3.3,6
8.4,0.62,0.12,3.38,6
9.6,0.41,0.37,3.24,5
8.4,0.36,0.32,3.3,6
8.4,0.62,0.12,3.38,6
6.8,0.41,0.31,3.38,6
8.6,0.47,0.27,3.18,5
8.6,0.22,0.36,3.47,7
9.4,0.24,0.33,3.47,6
8.4,0.67,0.19,3.2,4
8.6,0.47,0.27,3.18,5
8.7,0.33,0.38,3.3,7
6.6,0.61,0.01,3.69,5
7.4,0.61,0.01,3.48,5
7.6,0.4,0.29,3.45,6
7.4,0.61,0.01,3.48,5
6.6,0.61,0.01,3.69,5
8.8,0.3,0.38,3.39,6
8.8,0.3,0.38,3.39,6
12,0.63,0.5,3.07,4
7.2,0.38,0.38,3.34,7
6.2,0.46,0.17,3.61,5
9.6,0.33,0.52,3.36,7
9.9,0.27,0.49,3.19,7
10.1,0.43,0.4,3.22,7
9.8,0.5,0.34,3.24,7
8.3,0.3,0.49,3.27,7
10.2,0.44,0.42,3.14,7
10.2,0.44,0.58,3.29,7
8.3,0.28,0.48,3.26,7
8.9,0.12,0.45,3.41,7
8.9,0.12,0.45,3.41,7
8.9,0.12,0.45,3.41,7
8.3,0.28,0.48,3.26,7
8.2,0.31,0.4,3.31,7
10.2,0.34,0.48,3.2,7
7.6,0.43,0.4,3.44,6
8.5,0.21,0.52,3.36,5
9,0.36,0.52,3.31,6
9.5,0.37,0.52,3.29,6
6.4,0.57,0.12,3.47,7
8,0.59,0.05,3.36,5
8.5,0.47,0.27,3.16,6
6.6,0.57,0.02,3.38,5
8.8,0.27,0.39,3.15,6
8.5,0.47,0.27,3.16,6
8.3,0.34,0.4,3.34,6
9,0.38,0.41,3.13,7
8.5,0.66,0.2,3.13,5
9,0.4,0.43,3.2,6
6.7,0.56,0.09,3.46,5
10.4,0.26,0.48,3.33,6
10.4,0.26,0.48,3.33,6
10.1,0.38,0.5,3.22,7
8.5,0.34,0.44,3.52,5
8.8,0.33,0.41,3.3,7
7.2,0.41,0.3,3.44,5
7.2,0.41,0.3,3.44,5
8.4,0.59,0.29,3.15,5
12.2,0.45,0.49,3.13,5
9.1,0.5,0.3,3.32,6
9.5,0.86,0.26,3.25,5
7.3,0.52,0.32,3.34,6
9.1,0.5,0.3,3.32,6
12.2,0.45,0.49,3.13,5
7.4,0.58,0,3.45,6
9.8,0.34,0.39,3.19,7
7.1,0.36,0.3,3.44,5
7.7,0.39,0.12,3.16,5
9.7,0.295,0.4,3.14,6
7.7,0.39,0.12,3.16,5
7.1,0.34,0.28,3.45,5
6.5,0.4,0.1,3.36,6
7.1,0.34,0.28,3.45,5
10,0.35,0.45,3.15,5
5.6,0.66,0,3.71,7
5.6,0.66,0,3.71,7
8.9,0.84,0.34,3.12,6
6.4,0.69,0,3.47,6
7.5,0.43,0.3,3.44,7
9.9,0.35,0.38,3.26,7
9.1,0.29,0.33,3.26,7
6.8,0.36,0.32,3.36,7
8.2,0.43,0.29,3.25,5
6.8,0.36,0.32,3.36,7
9.1,0.29,0.33,3.26,7
9.1,0.3,0.34,3.26,7
8.9,0.35,0.4,3.23,7
9.6,0.5,0.36,3.18,5
8.9,0.28,0.45,3.25,7
8.9,0.32,0.31,3.17,6
7.7,1.005,0.15,3.23,5
7.5,0.71,0,3.38,6
8,0.58,0.16,3.22,6
10.5,0.39,0.46,3.06,6
8.9,0.38,0.4,3.27,7
8,0.18,0.37,2.89,6
8,0.18,0.37,2.89,6
7,0.5,0.14,3.53,5
7,0.51,0.09,3.35,5
8.2,0.32,0.42,3.27,6
7.7,0.58,0.01,3.32,7
8.6,0.83,0,3.33,6
6.4,0.795,0,3.49,5
7.2,0.34,0.21,3.37,6
7.7,0.58,0.01,3.32,7
7.3,0.55,0.01,3.35,7
8.1,0.82,0,3.36,5
7.5,0.57,0.08,3.3,6
8.9,0.745,0.18,3.2,6
10.1,0.37,0.34,3.17,7
7.6,0.31,0.34,3.22,7
7.3,0.91,0.1,3.35,5
8.7,0.41,0.41,3.24,7
8.9,0.5,0.21,3.33,6
7.4,0.965,0,3.58,5
6.9,0.49,0.19,3.38,6
8.9,0.5,0.21,3.33,6
9.5,0.39,0.41,3.29,7
6.4,0.39,0.33,3.36,6
6.9,0.44,0,3.32,6
7.6,0.78,0,3.31,6
7.1,0.43,0.17,3.49,5
9.3,0.49,0.36,3.27,6
9.3,0.5,0.36,3.27,6
8.5,0.46,0.59,3.03,5
5.6,0.605,0.05,3.56,5
8.3,0.33,0.42,3.38,7
8.2,0.64,0.27,3.13,6
8.2,0.64,0.27,3.13,6
8.9,0.48,0.53,3.21,7
7.6,0.42,0.25,3.15,5
9.9,0.53,0.57,3.19,7
8.9,0.48,0.53,3.21,7
11.6,0.23,0.57,3.14,6
9.1,0.4,0.5,3.21,8
8,0.38,0.44,3.3,6
10.2,0.29,0.65,3.22,6
8.2,0.74,0.09,3.28,6
6.6,0.52,0.08,3.4,7
11.1,0.31,0.53,3.02,7
11.1,0.31,0.53,3.02,7
8,0.62,0.35,3.31,5
9.3,0.33,0.45,3.18,7
7.5,0.77,0.2,3.2,5
7.2,0.35,0.26,3.4,6
8,0.62,0.33,3.31,6
7.5,0.77,0.2,3.2,5
9.1,0.25,0.34,3.44,7
9.9,0.32,0.56,3.15,6
8.6,0.37,0.65,3.27,5
8.6,0.37,0.65,3.27,5
10.3,0.27,0.56,3.16,6
7.2,0.38,0.3,3.42,6
8.7,0.42,0.45,3.33,6
7.2,0.38,0.3,3.42,6
6.8,0.48,0.08,3.12,5
8.5,0.34,0.4,3.38,7
11.6,0.41,0.54,3.02,7
11.6,0.41,0.54,3.02,7
10,0.26,0.54,2.98,8
7,0.54,0.09,3.43,6
9.2,0.31,0.36,3.33,7
6.6,0.725,0.09,3.35,6
9.4,0.4,0.47,3.15,5
6.6,0.725,0.09,3.35,6
8.6,0.52,0.38,3.2,5
8,0.31,0.45,3.15,7
8.6,0.52,0.38,3.2,5
8.4,0.34,0.42,3.11,6
7.4,0.49,0.27,3.35,6
6.1,0.48,0.09,3.45,6
7.4,0.49,0.27,3.35,6
8,0.48,0.34,3.28,6
6.3,0.57,0.28,3.41,5
8.2,0.23,0.42,3.21,6
9.1,0.3,0.41,3.27,7
8.1,0.78,0.1,3.36,5
10.8,0.47,0.43,3.17,6
8.3,0.53,0,3.25,6
5.4,0.42,0.27,3.78,7
8.9,0.24,0.39,3.12,6
5,0.4,0.5,3.49,6
7,0.69,0.07,3.38,6
7,0.69,0.07,3.38,6
7,0.69,0.07,3.38,6
5.6,0.66,0,3.52,5
7.9,0.54,0.34,3.2,8
6.6,0.5,0,3.44,6
6.3,0.47,0,3.45,6
10.7,0.4,0.37,3.12,6
6.5,0.58,0,3.62,4
8.8,0.24,0.35,3.14,7
5.8,0.29,0.26,3.39,6
6.3,0.76,0,3.51,6
10,0.43,0.33,3.22,5
10.5,0.43,0.35,3.21,6
9.1,0.6,0,3.18,6
5.9,0.19,0.21,3.32,5
7.4,0.36,0.34,3.38,7
7.2,0.48,0.07,3.37,7
8.5,0.28,0.35,3.3,7
8,0.25,0.43,3.38,6
10.4,0.52,0.45,3.22,6
10.4,0.52,0.45,3.22,6
7.5,0.41,0.15,3.14,5
8.2,0.51,0.24,3.34,6
7.3,0.4,0.3,3.41,6
8.2,0.38,0.32,3.27,6
6.9,0.45,0.11,3.3,6
7.3,0.32,0.23,3.43,5
8.2,0.2,0.43,3.53,6
7.8,0.5,0.12,3.28,6
10,0.41,0.45,3.21,7
7.8,0.39,0.42,3.39,6
10,0.35,0.47,3.23,6
8.2,0.33,0.32,3.3,7
6.1,0.58,0.23,3.46,6
8.3,0.6,0.25,3.15,5
9.6,0.42,0.35,3.23,6
6.6,0.58,0,3.59,6
8.3,0.6,0.25,3.15,5
8.5,0.18,0.51,3.33,7
5.1,0.51,0.18,3.46,7
6.7,0.41,0.43,3.42,6
10.2,0.41,0.43,3.16,5
10.6,0.36,0.57,3.14,7
8.8,0.45,0.43,3.21,6
8.5,0.32,0.42,3.14,7
9,0.785,0.24,3.29,5
9,0.785,0.24,3.29,5
8.5,0.44,0.5,3.01,5
9.9,0.54,0.26,2.94,5
8.2,0.33,0.39,3.32,7
6.5,0.34,0.27,3.21,6
7.6,0.5,0.29,3.32,6
9.2,0.36,0.34,3.2,6
9.7,0.42,0.46,3.27,6
7.6,0.36,0.31,3.46,6
7.6,0.36,0.31,3.46,6
6.5,0.61,0,3.61,6
6.5,0.88,0.03,3.58,4
7.1,0.66,0,3.35,7
5.6,0.915,0,3.68,5
8.2,0.35,0.33,3.27,6
8.2,0.35,0.33,3.27,6
9.8,0.39,0.43,3.19,5
10.2,0.4,0.4,3.38,6
6.8,0.66,0.07,3.29,5
6.7,0.64,0.23,3.36,5
7,0.43,0.3,3.33,6
6.6,0.8,0.03,3.52,5
7,0.43,0.3,3.33,6
6.7,0.64,0.23,3.36,5
8.8,0.955,0.05,3.3,4
9.1,0.4,0.57,3.28,6
6.5,0.885,0,3.56,5
7.2,0.25,0.37,3.52,7
6.4,0.885,0,3.56,5
7,0.745,0.12,3.22,6
6.2,0.43,0.22,3.52,6
7.9,0.58,0.23,3.21,6
7.7,0.57,0.21,3.16,6
7.7,0.26,0.26,3.15,6
7.9,0.58,0.23,3.21,6
7.7,0.57,0.21,3.16,6
8.6,0.42,0.39,3.35,8
9.9,0.74,0.19,3.14,5
7.2,0.36,0.46,3.4,7
9.9,0.72,0.55,3.35,5
7.2,0.36,0.46,3.4,7
6.2,0.39,0.43,3.45,7
6.8,0.65,0.02,3.35,6
6.6,0.44,0.15,3.32,5
6.8,0.65,0.02,3.35,6
9.6,0.38,0.42,3.15,6
10.2,0.33,0.46,3.1,6
8.8,0.27,0.46,3.26,6
7.9,0.57,0.31,3.29,6
8.2,0.34,0.37,3.23,6
8.2,0.4,0.31,3.24,6
9,0.39,0.4,3.2,6
10.9,0.32,0.52,3.28,6
10.9,0.32,0.52,3.28,6
8.1,0.53,0.22,3.26,6
10.5,0.36,0.47,3.23,6
12.6,0.39,0.49,3.07,6
9.2,0.46,0.23,3.15,5
7.5,0.58,0.03,3.02,5
9,0.58,0.25,3.27,5
5.1,0.42,0,3.68,7
7.6,0.43,0.29,3.4,5
7.7,0.18,0.34,3.37,6
7.8,0.815,0.01,3.38,5
7.6,0.43,0.29,3.4,5
10.2,0.23,0.37,3.23,4
7.1,0.75,0.01,3.39,6
6,0.33,0.32,3.3,4
7.8,0.55,0,3.26,6
7.1,0.75,0.01,3.39,6
8.1,0.73,0,3.38,4
6.5,0.67,0,3.45,4
7.5,0.61,0.2,3.1,5
9.8,0.37,0.39,3.16,5
9,0.4,0.41,3.22,6
8.3,0.56,0.22,3.37,5
5.9,0.29,0.25,3.33,6
7.4,0.55,0.19,3.49,5
7.4,0.74,0.07,3.12,5
7.4,0.55,0.19,3.49,5
6.9,0.41,0.33,3.41,6
7.1,0.6,0.01,3.4,6
7.1,0.6,0.01,3.4,6
7.5,0.58,0.14,3.28,5
7.1,0.72,0,3.45,5
7.9,0.66,0,3.43,5
7.8,0.7,0.06,3.4,5
6.1,0.64,0.02,3.47,5
7.5,0.59,0.22,3.1,5
7,0.58,0.28,3.32,6
6.8,0.64,0,3.44,6
6.8,0.64,0,3.44,6
8.6,0.635,0.68,3.02,5
6.3,1.02,0,3.59,4
9.8,0.45,0.38,3.15,5
8.2,0.78,0,3.37,4
8.5,0.37,0.32,3.38,6
7.2,0.57,0.05,3.38,6
7.2,0.57,0.05,3.38,6
10.4,0.43,0.5,3.1,6
6.9,0.41,0.31,3.47,6
5.5,0.49,0.03,3.5,8
5,0.38,0.01,3.7,6
7.3,0.44,0.2,3.38,6
5.9,0.46,0,3.5,5
7.5,0.58,0.2,3.1,5
7.8,0.58,0.13,3.24,6
8,0.715,0.22,3.24,6
8.5,0.4,0.4,3.28,4
7,0.69,0,3.35,6
8,0.715,0.22,3.24,6
9.8,0.3,0.39,3.14,7
7.1,0.46,0.2,3.37,6
7.1,0.46,0.2,3.37,6
7.9,0.765,0,3.33,6
8.7,0.63,0.28,3.26,6
7,0.42,0.19,3.39,5
7.1,0.16,0.44,3.35,6
8,0.6,0.08,3.22,5
7,0.6,0.3,3.3,5
7,0.6,0.3,3.3,5
7.6,0.74,0,3.36,5
8.2,0.635,0.1,3.29,6
5.9,0.395,0.13,3.62,6
7.5,0.755,0,3.34,4
8.2,0.635,0.1,3.29,6
6.6,0.63,0,3.2,5
6.6,0.63,0,3.2,5
7.2,0.53,0.14,3.35,6
5.7,0.6,0,3.45,6
7.6,1.58,0,3.5,3
5.2,0.645,0,3.78,6
6.7,0.86,0.07,3.6,6
9.1,0.37,0.32,3.3,6
8,0.28,0.44,3.36,5
7.6,0.79,0.21,3.12,5
7.5,0.61,0.26,3.3,5
9.7,0.69,0.32,3.29,5
6.8,0.68,0.09,3.41,4
9.7,0.69,0.32,3.29,5
7,0.62,0.1,3.28,5
7.5,0.61,0.26,3.3,5
6.5,0.51,0.15,3.33,6
8,1.18,0.21,3.34,5
7.5,0.63,0.27,3.26,6
5.4,0.74,0,4.01,6
9.9,0.44,0.46,3.18,6
7.5,0.63,0.27,3.26,6
9.1,0.76,0.68,2.9,6
9.7,0.66,0.34,3.26,5
5,0.74,0,4.01,6
9.1,0.34,0.42,3.18,5
9.1,0.36,0.39,3.18,7
6.7,0.46,0.24,3.39,6
6.7,0.46,0.24,3.39,6
6.7,0.46,0.24,3.39,6
6.7,0.46,0.24,3.39,6
6.5,0.52,0.11,3.34,5
7.4,0.6,0.26,3.29,6
7.4,0.6,0.26,3.29,6
7.8,0.87,0.26,3.26,5
8.4,0.39,0.1,3.09,6
9.1,0.775,0.22,3.18,5
7.2,0.835,0,3.39,5
6.6,0.58,0.02,3.38,6
6,0.5,0,3.36,5
6,0.5,0,3.36,5
6,0.5,0,3.36,5
7.5,0.51,0.02,3.36,6
7.5,0.51,0.02,3.36,6
7.5,0.51,0.02,3.36,6
7.6,0.54,0.02,3.37,6
7.5,0.51,0.02,3.36,6
11.5,0.42,0.48,3.09,5
8.2,0.44,0.24,3.25,6
6.1,0.59,0.01,3.52,5
7.2,0.655,0.03,3.34,5
7.2,0.655,0.03,3.34,5
6.9,0.57,0,3.41,5
9,0.6,0.29,3.34,5
7.2,0.62,0.01,3.32,6
7.6,0.645,0.03,3.37,5
7.6,0.645,0.03,3.37,5
7.2,0.58,0.03,3.35,5
6.1,0.32,0.25,3.36,5
6.1,0.34,0.25,3.36,5
7.3,0.43,0.24,3.6,6
7.4,0.64,0.17,3.28,5
11.6,0.475,0.4,3.07,6
9.2,0.54,0.31,3.24,5
8.3,0.85,0.14,3.36,5
11.6,0.475,0.4,3.07,6
8,0.83,0.27,3.29,4
7.2,0.605,0.02,3.46,6
7.8,0.5,0.09,3.18,5
7.3,0.74,0.08,3.24,5
6.9,0.54,0.3,3.25,6
8,0.77,0.32,3.27,6
6.6,0.61,0,3.33,4
8.7,0.78,0.51,3,5
7.5,0.58,0.56,3.21,6
8.7,0.78,0.51,3,5
7.7,0.75,0.27,3.24,5
6.8,0.815,0,3.32,3
7.2,0.56,0.26,3.26,5
8.2,0.885,0.2,3.11,5
5.2,0.49,0.26,3.71,6
7.2,0.45,0.15,3.29,6
7.5,0.57,0.02,3.36,6
7.5,0.57,0.02,3.36,6
6.8,0.83,0.09,3.38,5
8,0.6,0.22,3.3,5
8,0.6,0.22,3.3,5
7.1,0.755,0.15,3.19,5
8,0.81,0.25,3.19,5
7.4,0.64,0.07,3.3,5
7.4,0.64,0.07,3.3,5
6.6,0.64,0.31,3.35,5
6.7,0.48,0.02,3.1,5
6,0.49,0,3.58,6
8,0.64,0.22,3.37,5
7.1,0.62,0.06,3.17,5
8,0.52,0.25,3.3,5
6.4,0.57,0.14,3.32,5
8.6,0.685,0.1,3.31,6
8.7,0.675,0.1,3.31,5
7.3,0.59,0.26,3.28,5
7,0.6,0.12,3.52,7
7.2,0.67,0,3.42,6
7.9,0.69,0.21,3.25,5
7.9,0.69,0.21,3.25,5
7.6,0.3,0.42,3.44,6
7.2,0.33,0.33,3.23,8
8,0.5,0.39,3.43,6
7.7,0.28,0.3,3.28,7
8.2,0.24,0.34,3.22,6
6,0.51,0,3.54,6
8.1,0.29,0.36,3.27,7
6,0.51,0,3.54,6
6.6,0.96,0,3.5,6
6.4,0.47,0.4,3.56,6
8.2,0.24,0.34,3.22,6
9.9,0.57,0.25,3.04,5
10,0.32,0.59,3.2,5
6.2,0.58,0,3.56,5
10,0.32,0.59,3.2,5
7.3,0.34,0.33,3.35,7
7.8,0.53,0.01,3.16,5
7.8,0.53,0.01,3.16,5
7.5,0.4,0.18,3.34,5
7,0.54,0,3.39,6
6.4,0.53,0.09,3.5,4
8.3,0.26,0.37,3.26,6
8.3,0.26,0.37,3.26,6
7.7,0.23,0.37,3.41,6
7.6,0.41,0.33,3.3,5
7.8,0.64,0,3.31,5
7.4,0.41,0.24,3.37,5
7.6,0.43,0.31,3.26,6
5.9,0.44,0,3.48,6
6.1,0.4,0.16,3.42,7
10.2,0.54,0.37,3.18,6
10.2,0.54,0.37,3.18,6
10,0.38,0.38,3.15,5
6.8,0.915,0.29,3.53,5
7,0.59,0,3.41,5
7.3,0.67,0.02,3.32,6
7.2,0.37,0.32,3.23,7
7.4,0.785,0.19,3.16,6
7.3,0.67,0.02,3.32,6
7.4,0.785,0.19,3.16,6
6.8,0.67,0,3.4,5
6.9,0.58,0.01,3.4,5
7.2,0.38,0.31,3.23,8
7.2,0.37,0.32,3.23,7
7.8,0.32,0.44,3.33,7
6.6,0.58,0.02,3.35,7
7.6,0.49,0.33,3.41,5
11.7,0.45,0.63,3.21,6
6.5,0.9,0,3.5,6
6,0.54,0.06,3.3,6
7.6,0.49,0.33,3.41,5
8.4,0.29,0.4,3.39,5
6.4,0.42,0.09,3.41,6
6.2,0.785,0,3.59,4
6.8,0.64,0.03,3.36,6
6.8,0.59,0.1,3.41,5
6.8,0.59,0.1,3.41,5
7.3,0.48,0.32,3.3,7
6.7,1.04,0.08,3.52,4
7.3,0.48,0.32,3.3,7
7.3,0.98,0.05,3.31,3
10,0.69,0.11,2.88,5
6.7,0.7,0.08,3.43,5
7.6,0.35,0.6,3.38,6
6.1,0.6,0.08,3.38,5
9.9,0.5,0.5,3.16,5
5.3,0.47,0.11,3.54,7
9.9,0.5,0.5,3.16,5
5.3,0.47,0.11,3.54,7
7.1,0.875,0.05,3.4,3
8.2,0.28,0.6,3.39,5
5.6,0.62,0.03,3.66,4
8.2,0.28,0.6,3.39,5
7.2,0.58,0.54,3.33,4
8.1,0.33,0.44,3.35,5
6.8,0.91,0.06,3.53,4
7,0.655,0.16,3.37,5
6.8,0.68,0.21,3.38,5
5.6,0.54,0.04,3.72,5
6.2,0.57,0.1,3.44,6
7.1,0.22,0.49,3.39,6
5.6,0.54,0.04,3.72,5
6.2,0.65,0.06,3.57,5
7.7,0.54,0.26,3.26,5
6.4,0.31,0.09,3.42,7
7,0.43,0.02,3.35,6
7.7,0.54,0.26,3.26,5
6.6,0.895,0.04,3.53,6
7.5,0.725,0.04,3.26,5
7.8,0.82,0.29,3.16,5
7.3,0.585,0.18,3.31,5
6.2,0.44,0.39,3.51,6
7.5,0.38,0.57,3.36,6
6.7,0.76,0.02,3.55,3
6.8,0.81,0.05,3.51,6
7.5,0.38,0.57,3.36,6
7.1,0.27,0.6,3.38,6
6.4,0.36,0.21,3.47,6
7.1,0.69,0.04,3.44,5
6.4,0.79,0.04,3.53,6
6.4,0.56,0.15,3.33,6
6.1,0.32,0.25,3.42,5
6.5,0.53,0.06,3.38,6
7.4,0.47,0.46,3.32,5
6.6,0.7,0.08,3.44,5
6.5,0.53,0.06,3.38,6
6.9,0.48,0.2,3.39,4
6.1,0.32,0.25,3.42,5
6.8,0.48,0.25,3.34,5
6,0.42,0.19,3.39,6
6.7,0.48,0.08,3.33,5
6.8,0.47,0.08,3.3,6
7.1,0.69,0.08,3.42,6
6.6,0.44,0.09,3.42,6
6.1,0.705,0.1,3.6,5
7.2,0.53,0.13,3.21,6
8,0.39,0.3,3.39,5
6.6,0.56,0.14,3.42,7
7,0.55,0.13,3.36,6
6.1,0.53,0.08,3.6,6
5.4,0.58,0.08,3.5,6
6.2,0.64,0.09,3.57,5
7.2,0.39,0.32,3.46,5
6.2,0.52,0.08,3.56,6
7.4,0.25,0.29,3.4,7
6.7,0.855,0.02,3.3,6
11.1,0.44,0.42,3.25,6
8.4,0.37,0.43,3.17,7
6.5,0.63,0.33,3.36,6
7,0.57,0.02,3.36,5
6.3,0.6,0.1,3.55,5
11.2,0.4,0.5,3.1,5
7.4,0.36,0.3,3.24,8
7.1,0.68,0,3.45,5
7.1,0.67,0,3.44,5
6.3,0.68,0.01,3.51,6
7.3,0.735,0,3.41,5
6.6,0.855,0.02,3.54,6
7,0.56,0.17,3.44,7
6.6,0.88,0.04,3.53,5
6.6,0.855,0.02,3.54,6
7.8,0.6,0.26,3.21,5
7.8,0.6,0.26,3.21,5
7.8,0.6,0.26,3.21,5
7.2,0.695,0.13,3.29,5
7.2,0.695,0.13,3.29,5
7.2,0.695,0.13,3.29,5
6.7,0.67,0.02,3.39,6
6.7,0.16,0.64,3.34,6
7.2,0.695,0.13,3.29,5
7,0.56,0.13,3.34,5
6.2,0.51,0.14,3.48,6
6.4,0.36,0.53,3.37,6
6.4,0.38,0.14,3.44,6
7.3,0.69,0.32,3.33,5
6,0.58,0.2,3.58,6
5.6,0.31,0.78,3.39,6
7.5,0.52,0.4,3.26,6
8,0.3,0.63,3.3,6
6.2,0.7,0.15,3.54,6
6.8,0.67,0.15,3.42,6
6.2,0.56,0.09,3.54,5
7.4,0.35,0.33,3.36,6
6.2,0.56,0.09,3.54,5
6.1,0.715,0.1,3.57,5
6.2,0.46,0.29,3.33,5
6.7,0.32,0.44,3.29,7
7.2,0.39,0.44,3.3,6
7.5,0.31,0.41,3.34,6
5.8,0.61,0.11,3.55,6
7.2,0.66,0.33,3.27,6
6.6,0.725,0.2,3.29,5
6.3,0.55,0.15,3.32,6
5.4,0.74,0.09,3.67,6
6.3,0.51,0.13,3.42,6
6.8,0.62,0.08,3.42,6
6.2,0.6,0.08,3.45,5
5.9,0.55,0.1,3.52,6
6.3,0.51,0.13,3.42,6
5.9,0.645,0.12,3.57,5
6,0.31,0.47,3.39,6
6.8,0.62,0.08,3.42,6
